Report Date/Time: 11/03/2014 02:52 PM,,,,,Revised to Reflect Precinct Adjustment to LD 4 & LD 13,,,,,,,,Page Number 1,
,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,
,,,,,,,"2014 General Election - November 4, 2014",,,,,,,
,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,
,,,,,,ACTIVE,,,,,,,,
,,Precincts,Date/Period,,,,,,,,,Other,TOTAL,
,,,,Americans ,,,,Democratic,Green,Libertarian,Republican,,,
,,724,P.E. 2014,,,,,,,,,"717,662","1,974,428",
,,,,298,,,,"515,376",*,"17,205","694,850",,,
,,724,G.E. 2014,,,,,,,,,"708,000","1,935,729",
,,,,7,,,,"24,911",115,577,"47,134",,,
,Mohave,73,G.E. 2012,,,,,,,,,"42,766","115,510",
,,,,15,,,,"23,020",*,640,"46,094",,,
,,73,P.E. 2014,,,,,,,,,"46,142","115,911",
,,,,14,,,,"23,072",*,664,"46,633",,,
,,73,G.E. 2014,,,,,,,,,"47,214","117,597",
,,,,1,,,,"24,435",56,342,"19,134",,,
,Navajo,61,G.E. 2012,,,,,,,,,"15,579","59,547",
,,,,8,,,,"22,504",*,355,"17,171",,,
,,61,P.E. 2014,,,,,,,,,"15,376","55,414",
,,,,8,,,,"22,979",*,366,"17,523",,,
,,61,G.E. 2014,,,,,,,,,"15,849","56,725",
,,,,38,,,,"186,040","1,296","3,643","154,358",,,
,Pima,288,G.E. 2012,,,,,,,,,"150,272","495,647",
,,,,56,,,,"176,195",*,"3,949","148,928",,,
,,248,P.E. 2014,,,,,,,,,"158,992","488,120",
,,,,57,,,,"179,046",*,"4,026","151,097",,,
,,248,G.E. 2014,,,,,,,,,"164,431","498,657",
,,,,14,,,,"44,623",177,906,"52,118",,,
,Pinal,102,G.E. 2012,,,,,,,,,"55,218","153,056",
,,,,12,,,,"42,642",*,"1,072","50,724",,,
,,102,P.E. 2014,,,,,,,,,"60,117","154,567",
,,,,15,,,,"43,310",*,"1,114","51,801",,,
,,102,G.E. 2014,,,,,,,,,"62,100","158,340",
,,,,0,,,,"12,227",29,128,"4,056",,,
,Santa Cruz,24,G.E. 2012,,,,,,,,,"7,622","24,062",
,,,,0,,,,"11,258",*,126,"3,600",,,
,,24,P.E. 2014,,,,,,,,,"7,377","22,361",
,,,,0,,,,"11,385",*,124,"3,661",,,
,,24,G.E. 2014,,,,,,,,,"7,499","22,669",
,,,,4,,,,"26,664",270,836,"55,369",,,
,Yavapai,107,G.E. 2012,,,,,,,,,"41,013","124,156",
,,,,12,,,,"24,720",*,941,"53,116",,,
,,45,P.E. 2014,,,,,,,,,"42,760","121,549",
,,,,10,,,,"24,676",*,944,"53,512",,,
,,45,G.E. 2014,,,,,,,,,"44,159","123,301",
,,,,6,,,,"26,210",47,336,"22,493",,,
,Yuma,42,G.E. 2012,,,,,,,,,"26,440","75,532",
,,,,6,,,,"25,448",*,521,"21,876",,,
,,44,P.E. 2014,,,,,,,,,"28,054","75,905",
,,,,6,,,,"25,596",*,512,"22,096",,,
,,44,G.E. 2014,,,,,,,,,"28,767","76,977",
,,,,237,,,,"952,931","4,863","22,086","1,120,992",,,
,TOTALS:,"1,667",G.E. 2012,,,,,,,,,"1,023,603","3,124,712",
,,,,399,,,,"944,665",*,"26,915","1,122,723",,,
,,"1,566",P.E. 2014,,,,,,,,,"1,152,444","3,247,146",
